Language,Attack Name,Is Applicable,Defense Applied,Attack Success Rate,Defense Mitigation
Urdu,CA_WORD_12_Synonyms,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_13_PhoneticPerturbation,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_13_PhoneticPerturbation,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_13_PhoneticPerturbation,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_13_PhoneticPerturbation,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_13_PhoneticPerturbation,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_13_PhoneticPerturbation,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_13_PhoneticPerturbation,Yes,None (Baseline),0.00%,N/A
Telugu,CA_WORD_13_PhoneticPerturbation,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_WORD_13_PhoneticPerturbation,Yes,None (Baseline),0.00%,N/A
Urdu,CA_WORD_13_PhoneticPerturbation,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-WORD-01_EntityLess,Yes,None (Baseline),0.00%,N/A
Hindi,CA-WORD-01_EntityLess,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-WORD-01_EntityLess,Yes,None (Baseline),14.29%,N/A
Malayalam,CA-WORD-01_EntityLess,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,CA-WORD-01_EntityLess,Yes,None (Baseline),0.00%,N/A
Nepali,CA-WORD-01_EntityLess,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-WORD-01_EntityLess,Yes,None (Baseline),0.00%,N/A
Telugu,CA-WORD-01_EntityLess,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-WORD-01_EntityLess,Yes,None (Baseline),0.00%,N/A
Urdu,CA-WORD-01_EntityLess,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-WORD-02_EntityDisamb,Yes,None (Baseline),0.00%,N/A
Hindi,CA-WORD-02_EntityDisamb,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-WORD-02_EntityDisamb,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-WORD-02_EntityDisamb,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-WORD-02_EntityDisamb,Yes,None (Baseline),0.00%,N/A
Nepali,CA-WORD-02_EntityDisamb,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-WORD-02_EntityDisamb,Yes,None (Baseline),0.00%,N/A
Telugu,CA-WORD-02_EntityDisamb,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-WORD-02_EntityDisamb,Yes,None (Baseline),0.00%,N/A
Urdu,CA-WORD-02_EntityDisamb,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-WORD-03_EntityLinking,Yes,None (Baseline),0.00%,N/A
Hindi,CA-WORD-03_EntityLinking,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-WORD-03_EntityLinking,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-WORD-03_EntityLinking,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-WORD-03_EntityLinking,Yes,None (Baseline),0.00%,N/A
Nepali,CA-WORD-03_EntityLinking,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-WORD-03_EntityLinking,Yes,None (Baseline),0.00%,N/A
Telugu,CA-WORD-03_EntityLinking,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-WORD-03_EntityLinking,Yes,None (Baseline),0.00%,N/A
Urdu,CA-WORD-03_EntityLinking,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,PA-DATASET-01_Symmetric,Yes,None (Baseline),50.00%,N/A
Hindi,PA-DATASET-01_Symmetric,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,PA-DATASET-01_Symmetric,Yes,None (Baseline),28.57%,N/A
Malayalam,PA-DATASET-01_Symmetric,Yes,Head-Only Finetuning,0.00%,-28.57%
Nepali,PA-DATASET-01_Symmetric,Yes,None (Baseline),100.00%,N/A
Nepali,PA-DATASET-01_Symmetric,Yes,Head-Only Finetuning,0.00%,-100.00%
Telugu,PA-DATASET-01_Symmetric,Yes,None (Baseline),66.67%,N/A
Telugu,PA-DATASET-01_Symmetric,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,PA-DATASET-01_Symmetric,Yes,None (Baseline),50.00%,N/A
Urdu,PA-DATASET-01_Symmetric,Yes,Head-Only Finetuning,0.00%,-50.00%
Hindi,PA-DATASET-02_GPT4Symmetric,Yes,None (Baseline),50.00%,N/A
Hindi,PA-DATASET-02_GPT4Symmetric,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,PA-DATASET-02_GPT4Symmetric,Yes,None (Baseline),71.43%,N/A
Malayalam,PA-DATASET-02_GPT4Symmetric,Yes,Head-Only Finetuning,28.57%,-42.86%
Nepali,PA-DATASET-02_GPT4Symmetric,Yes,None (Baseline),50.00%,N/A
Nepali,PA-DATASET-02_GPT4Symmetric,Yes,Head-Only Finetuning,0.00%,-50.00%
